ID,Parent_ID,Title,Description,Source_Doc,Verification_Method,Status,Created_Date,Modified_Date,System_Scope,Business_Value,Risk_Level,Owner,Dependencies,Test_ID,Implementation_Status
API-WORKFLOW-002,,Workflow Creation Endpoint,POST /workflows endpoint for creating new workflows,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Medium,Backend Team,API-AUTH-002,API-TEST-010,Not Started
API-WORKFLOW-003,,Workflow Details Endpoint,GET /workflows/{id} endpoint for retrieving workflow details,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Low,Backend Team,API-AUTH-002,API-TEST-011,Not Started
API-WORKFLOW-004,,Workflow Update Endpoint,PUT /workflows/{id} endpoint for updating workflow configuration,API Specification,API Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Medium,Backend Team,API-AUTH-002,API-TEST-012,Not Started
API-WORKFLOW-005,,Workflow Execution Endpoint,POST /workflows/{id}/execute endpoint for triggering workflow execution,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Cross-System,High,High,Backend Team,API-WORKFLOW-003,API-TEST-013,Not Started
API-PAY-001,,Customer Registration API,POST /customers endpoint for registering new customers,API Specification,API Testing,Active,2024-01-15,2024-01-15,Payment System,High,Medium,Backend Team,API-AUTH-002,API-TEST-014,Not Started
API-PAY-002,,Customer Profile API,GET /customers/{id} endpoint for retrieving customer profile information,API Specification,API Testing,Active,2024-01-15,2024-01-15,Payment System,High,Low,Backend Team,API-AUTH-002,API-TEST-015,Not Started
API-PAY-003,,Payment Method Management API,POST /customers/{id}/payment-methods endpoint for adding payment methods,API Specification,Security Testing,Active,2024-01-15,2024-01-15,Payment System,High,High,Backend Team,API-PAY-002,API-TEST-016,Not Started
API-PAY-004,,Payment Processing API,POST /payments endpoint for processing customer payments,API Specification,Security Testing,Active,2024-01-15,2024-01-15,Payment System,High,High,Backend Team,API-PAY-003,API-TEST-017,Not Started
API-PAY-005,,Payment History API,GET /customers/{id}/payments endpoint for retrieving payment history,API Specification,API Testing,Active,2024-01-15,2024-01-15,Payment System,Medium,Low,Backend Team,API-PAY-002,API-TEST-018,Not Started
API-PAY-006,,Automated Payment Setup API,POST /customers/{id}/auto-payments endpoint for configuring recurring payments,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Payment System,Medium,Medium,Backend Team,API-PAY-003,API-TEST-019,Not Started
API-LOAD-001,,Load Creation API,POST /loads endpoint for creating new load bookings,API Specification,API Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Backend Team,API-AUTH-002,API-TEST-020,Not Started
API-LOAD-002,,Load Details API,GET /loads/{id} endpoint for retrieving load information,API Specification,API Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Low,Backend Team,API-AUTH-002,API-TEST-021,Not Started
API-LOAD-003,,Load Update API,PUT /loads/{id} endpoint for updating load information,API Specification,API Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Backend Team,API-LOAD-002,API-TEST-022,Not Started
API-LOAD-004,,Carrier Assignment API,POST /loads/{id}/assign-carrier endpoint for assigning carriers to loads,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Backend Team,API-LOAD-002,API-TEST-023,Not Started
API-LOAD-005,,Load Tracking API,GET /loads/{id}/tracking endpoint for real-time load tracking,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Backend Team,API-LOAD-002,API-TEST-024,Not Started
API-LOAD-006,,Load Status Update API,PUT /loads/{id}/status endpoint for updating load status,API Specification,API Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Low,Backend Team,API-LOAD-002,API-TEST-025,Not Started
API-LOAD-007,,Carrier Search API,GET /carriers endpoint for searching available carriers,API Specification,API Testing,Active,2024-01-15,2024-01-15,Load Booking System,Medium,Low,Backend Team,API-AUTH-002,API-TEST-026,Not Started
API-INV-001,,Invoice Generation API,POST /invoices endpoint for generating invoices from completed loads,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Invoice System,High,Medium,Backend Team,API-LOAD-002,API-TEST-027,Not Started
API-INV-002,,Invoice Details API,GET /invoices/{id} endpoint for retrieving invoice information,API Specification,API Testing,Active,2024-01-15,2024-01-15,Invoice System,High,Low,Backend Team,API-AUTH-002,API-TEST-028,Not Started
API-INV-003,,Invoice Update API,PUT /invoices/{id} endpoint for updating invoice details,API Specification,API Testing,Active,2024-01-15,2024-01-15,Invoice System,Medium,Medium,Backend Team,API-INV-002,API-TEST-029,Not Started
API-INV-004,,Invoice Approval API,POST /invoices/{id}/approve endpoint for invoice approval workflow,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Invoice System,High,Medium,Backend Team,API-INV-002,API-TEST-030,Not Started
API-INV-005,,Invoice Delivery API,POST /invoices/{id}/deliver endpoint for sending invoices to customers,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Invoice System,Medium,Medium,Backend Team,API-INV-002,API-TEST-031,Not Started
API-INV-006,,Invoice Payment Integration API,GET /invoices/{id}/payment-status endpoint for payment status integration,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Invoice System,High,High,Backend Team,API-PAY-004,API-TEST-032,Not Started
API-CARR-001,,Carrier Payment Calculation API,POST /carrier-payments/calculate endpoint for calculating carrier payments,API Specification,API Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,High,Medium,Backend Team,API-LOAD-005,API-TEST-033,Not Started
API-CARR-002,,Carrier Payment Processing API,POST /carrier-payments endpoint for processing carrier payments,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,High,High,Backend Team,API-CARR-001,API-TEST-034,Not Started
API-CARR-003,,Carrier Payment History API,GET /carriers/{id}/payments endpoint for retrieving carrier payment history,API Specification,API Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,Medium,Low,Backend Team,API-AUTH-002,API-TEST-035,Not Started
API-CARR-004,,Fee Structure Management API,POST /fee-structures endpoint for managing carrier fee structures,API Specification,API Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,Medium,Medium,Backend Team,API-AUTH-002,API-TEST-036,Not Started
API-CARR-005,,Payment Schedule API,POST /carrier-payments/{id}/schedule endpoint for scheduling carrier payments,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,Medium,Medium,Backend Team,API-CARR-002,API-TEST-037,Not StartedAPI-CARR-005,,Payment Schedule API,POST /carrier-payments/{id}/schedule endpoint for scheduling carrier payments,API Specification,Integration Testing,Active,2024-01-15,2024-01-15,Carrier Payment System,Medium,Medium,Backend Team,API-CARR-002,API-TEST-037,Not Started
DB-CORE-001,,UUID Extension Setup,Enable uuid-ossp extension for UUID generation across all database tables,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Low,Database Team,,DB-TEST-001,Not Started
DB-CORE-002,,User Role Enum,Create user_role enum type with admin analyst and user values,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-CORE-001,DB-TEST-002,Not Started
DB-CORE-003,,User Status Enum,Create user_status enum type with active inactive and suspended values,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-CORE-001,DB-TEST-003,Not Started
DB-CORE-004,,Workflow Status Enum,Create workflow_status enum type with draft active and archived values,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-CORE-001,DB-TEST-004,Not Started
DB-USER-001,,Users Table Structure,Create users table with id email username password_hash role status and timestamps,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Medium,Database Team,DB-CORE-002,DB-TEST-005,Not Started
DB-USER-002,,User Email Validation,Implement email format validation constraint on users table,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Medium,Database Team,DB-USER-001,DB-TEST-006,Not Started
DB-USER-003,,User Username Validation,Implement username format validation constraint (3-50 alphanumeric characters),Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-USER-001,DB-TEST-007,Not Started
DB-USER-004,,User Email Index,Create index on users email column for fast lookup,Database Schema,Performance Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-USER-001,DB-TEST-008,Not Started
DB-USER-005,,User Username Index,Create index on users username column for fast lookup,Database Schema,Performance Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-USER-001,DB-TEST-009,Not Started
DB-TEMPLATE-001,,Templates Table Structure,Create templates table with id name description and timestamps,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-CORE-001,DB-TEST-010,Not Started
DB-WORKFLOW-001,,Workflows Table Structure,Create workflows table with id name description template_id status created_by and timestamps,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Medium,Database Team,DB-TEMPLATE-001,DB-TEST-011,Not Started
DB-WORKFLOW-002,,Workflow Name Validation,Implement name length validation constraint on workflows table,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-WORKFLOW-001,DB-TEST-012,Not Started
DB-WORKFLOW-003,,Workflow Template Foreign Key,Create foreign key constraint from workflows.template_id to templates.id,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Medium,Database Team,DB-WORKFLOW-001,DB-TEST-013,Not Started
DB-WORKFLOW-004,,Workflow Creator Foreign Key,Create foreign key constraint from workflows.created_by to users.id,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Medium,Database Team,DB-WORKFLOW-001,DB-TEST-014,Not Started
DB-WORKFLOW-005,,Workflow Indexes,Create indexes on template_id created_by and status columns for performance,Database Schema,Performance Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-WORKFLOW-001,DB-TEST-015,Not Started
DB-REPORT-001,,Reports Table Structure,Create reports table with id title description query_definition schedule created_by and timestamps,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Medium,Database Team,DB-USER-001,DB-TEST-016,Not Started
DB-REPORT-002,,Report Title Validation,Implement title length validation constraint on reports table,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-REPORT-001,DB-TEST-017,Not Started
DB-REPORT-003,,Report Schedule Validation,Implement CRON expression validation constraint on reports schedule field,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Medium,Database Team,DB-REPORT-001,DB-TEST-018,Not Started
DB-REPORT-004,,Report Creator Foreign Key,Create foreign key constraint from reports.created_by to users.id,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Medium,Database Team,DB-REPORT-001,DB-TEST-019,Not Started
DB-REPORT-005,,Report Subscriptions Table,Create report_subscriptions junction table for many-to-many relationship,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-REPORT-001,DB-TEST-020,Not Started
DB-TRIGGER-001,,Updated At Trigger Function,Create update_updated_at_column() function for automatic timestamp updates,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-CORE-001,DB-TEST-021,Not Started
DB-TRIGGER-002,,Users Updated At Trigger,Create trigger to automatically update users.updated_at on row changes,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-TRIGGER-001,DB-TEST-022,Not Started
DB-TRIGGER-003,,Workflows Updated At Trigger,Create trigger to automatically update workflows.updated_at on row changes,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-TRIGGER-001,DB-TEST-023,Not Started
DB-TRIGGER-004,,Reports Updated At Trigger,Create trigger to automatically update reports.updated_at on row changes,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Low,Database Team,DB-TRIGGER-001,DB-TEST-024,Not Started
DB-SEARCH-001,,Workflows Full Text Search Index,Create GIN index for full-text search on workflows name and description,Database Schema,Performance Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Medium,Database Team,DB-WORKFLOW-001,DB-TEST-025,Not Started
DB-SEARCH-002,,Reports Full Text Search Index,Create GIN index for full-text search on reports title and description,Database Schema,Performance Testing,Active,2024-01-15,2024-01-15,Cross-System,Medium,Medium,Database Team,DB-REPORT-001,DB-TEST-026,Not Started
DB-SEED-001,,Sample User Data,Insert sample users with different roles for testing and development,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Low,Low,Database Team,DB-USER-001,DB-TEST-027,Not Started
DB-SEED-002,,Sample Template Data,Insert sample workflow templates for testing and development,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Cross-System,Low,Low,Database Team,DB-TEMPLATE-001,DB-TEST-028,Not Started
DB-PERM-001,,Database Permissions,Grant appropriate permissions to app_user role for all tables and sequences,Database Schema,Security Testing,Active,2024-01-15,2024-01-15,Cross-System,High,Medium,Database Team,DB-CORE-001,DB-TEST-029,Not Started
DB-PAY-001,,Customers Table,Create customers table for payment system with company information and contact details,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Payment System,High,Medium,Database Team,DB-CORE-001,DB-TEST-030,Not Started
DB-PAY-002,,Payment Methods Table,Create payment_methods table for storing customer payment method information,Database Schema,Security Testing,Active,2024-01-15,2024-01-15,Payment System,High,High,Database Team,DB-PAY-001,DB-TEST-031,Not Started
DB-PAY-003,,Payments Table,Create payments table for storing payment transaction records,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Payment System,High,Medium,Database Team,DB-PAY-001,DB-TEST-032,Not Started
DB-PAY-004,,Payment Status Enum,Create payment_status enum with pending processing completed failed values,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Payment System,Medium,Low,Database Team,DB-CORE-001,DB-TEST-033,Not Started
DB-PAY-005,,Auto Payments Table,Create auto_payments table for recurring payment configurations,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Payment System,Medium,Medium,Database Team,DB-PAY-002,DB-TEST-034,Not Started
DB-LOAD-001,,Loads Table,Create loads table for load booking information with pickup delivery and cargo details,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Database Team,DB-CORE-001,DB-TEST-035,Not Started
DB-LOAD-002,,Carriers Table,Create carriers table for carrier information and performance tracking,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Database Team,DB-CORE-001,DB-TEST-036,Not Started
DB-LOAD-003,,Load Status Enum,Create load_status enum with created assigned in_transit delivered values,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Load Booking System,Medium,Low,Database Team,DB-CORE-001,DB-TEST-037,Not Started
DB-LOAD-004,,Load Assignments Table,Create load_assignments table for tracking carrier assignments to loads,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Database Team,DB-LOAD-001,DB-TEST-038,Not Started
DB-LOAD-005,,Load Tracking Table,Create load_tracking table for real-time location and status updates,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Load Booking System,High,Medium,Database Team,DB-LOAD-001,DB-TEST-039,Not Started
DB-INV-001,,Invoices Table,Create invoices table for invoice information linked to completed loads,Database Schema,Database Testing,Active,2024-01-15,2024-01-15,Invoice System,High,Medium,Database Team,DB-LOAD-001,DB-TEST-040,Not Started
